checkpoint,position,is_home,formation,cumul_sprints,cumul_hsr,cumul_distance,cumul_mean_max_speed,cumul_peak_speed,cumul_shots,cumul_shots_on_target,cumul_shots_under_press,cumul_shots_top_third,scored_after,cumul_in_game_time,cumul_received_succ,cumul_received_unsucc,cumul_times_pressured,cumul_pressured_succ,cumul_pressured_unsucc,cumul_pressured_success_rate,cumul_pressures_applied,cumul_pressures_won,cumul_pressures_lost,cumul_pressure_success_rate
H2_30,M,True,4-3-3,4,32,447.43,6.413,8.52,0,0,0,0,0,74,26,5,0,0,0,0.0,29,11,18,0.3793103448275862
H1_15,G,False,4-1-3-2,0,0,0.0,0.0,0.0,0,0,0,0,0,14,2,1,1,0,1,0.0,0,0,0,0.0
H1_30,G,False,4-1-3-2,0,1,7.71,7.21,7.21,0,0,0,0,0,29,3,1,0,0,0,0.0,0,0,0,0.0
H1_45,G,False,4-1-3-2,0,1,7.71,7.21,7.21,0,0,0,0,0,44,6,1,2,0,2,0.0,0,0,0,0.0
H2_15,G,False,4-1-3-2,0,1,7.71,7.21,7.21,0,0,0,0,0,59,6,2,0,0,0,0.0,0,0,0,0.0
H2_30,G,False,4-1-3-2,0,1,7.71,7.21,7.21,0,0,0,0,0,74,6,3,0,0,0,0.0,0,0,0,0.0
H1_15,D,False,4-1-3-2,2,7,86.87,6.737,8.31,0,0,0,0,0,14,2,1,4,3,1,0.75,2,1,1,0.5
H1_30,D,False,4-1-3-2,3,16,239.3,6.656,8.31,0,0,0,0,0,29,3,2,8,7,1,0.875,13,7,6,0.5384615384615384
H1_45,D,False,4-1-3-2,6,23,326.56,6.722,8.31,0,0,0,0,0,44,6,4,10,8,2,0.8,16,8,8,0.5
H2_15,D,False,4-1-3-2,8,32,468.35,6.705,8.31,0,0,0,0,0,59,10,7,13,10,3,0.7692307692307693,19,9,10,0.47368421052631576
H2_30,D,False,4-1-3-2,9,40,583.98,6.639,8.31,0,0,0,0,0,74,12,7,14,10,4,0.7142857142857143,20,9,11,0.45
